Key,English,Simplified_Chinese
PROPCTRL_TXT_000092,Metaverse Plant,元宇宙风植物
PROPCTRL_TXT_000093,Metaverse Tree Pot,元宇宙风树盆
PROPCTRL_TXT_000094,Metaverse Slippers,元宇宙风拖鞋
PROPCTRL_TXT_000095,Metaverse Single Sofa,元宇宙风单人沙发
PROPCTRL_TXT_000096,Metaverse Pouffe Seat,元宇宙风坐垫椅
PROPCTRL_TXT_000097,Metaverse Sofa,元宇宙风沙发
PROPCTRL_TXT_000098,Metaverse Round Table,元宇宙风圆桌
PROPCTRL_TXT_000099,Metaverse Storage Table,元宇宙风储物桌
PROPCTRL_TXT_000100,Metaverse Decorative Table,元宇宙风陈列桌
PROPCTRL_TXT_000101,Metaverse Violin,元宇宙风小提琴
PROPCTRL_TXT_000102,Wooden Yellow Chair,黄色实木椅
PROPCTRL_TXT_000103,Wooden Yellow Table,黄色实木桌
PROPCTRL_TXT_000104,Wooden Yellow Dressing Table,黄色实木梳妆台
PROPCTRL_TXT_000105,Wooden Yellow Closet,黄色实木衣柜
PROPCTRL_TXT_000106,Wooden Yellow Bench,黄色实木长椅
PROPCTRL_TXT_000107,Wooden Yellow Cabinet,黄色实木橱柜
PROPCTRL_TXT_000108,Wooden Yellow Bed,黄色实木床
PROPCTRL_TXT_000109,Wooden Blue Chair,蓝色实木椅
PROPCTRL_TXT_000110,Wooden Blue Table,蓝色实木桌
PROPCTRL_TXT_000111,Wooden Blue Dressing Table,蓝色实木梳妆台
PROPCTRL_TXT_000112,Wooden Blue Closet,蓝色实木衣柜
PROPCTRL_TXT_000113,Wooden Blue Bench,蓝色实木长椅
PROPCTRL_TXT_000114,Wooden Blue Cabinet,蓝色实木橱柜
PROPCTRL_TXT_000115,Wooden Blue Bed,蓝色实木床
PROPCTRL_TXT_000116,Wooden Red Chair,红色实木椅
PROPCTRL_TXT_000117,Wooden Red Table,红色实木桌
PROPCTRL_TXT_000118,Wooden Red Dressing Table,红色实木梳妆台
PROPCTRL_TXT_000119,Wooden Red Closet,红色实木衣柜
PROPCTRL_TXT_000120,Wooden Red Bench,红色实木长椅
PROPCTRL_TXT_000121,Wooden Red Cabinet,红色实木橱柜
PROPCTRL_TXT_000122,Wooden Red Bed,红色实木床
PROPCTRL_TXT_000123,Music Chair,音乐风椅
PROPCTRL_TXT_000124,Music Table,音乐风桌
PROPCTRL_TXT_000125,Music Dressing Table,音乐风梳妆台
PROPCTRL_TXT_000126,Music Wardrobe,音乐风衣柜
PROPCTRL_TXT_000127,Music Sofa,音乐风沙发
PROPCTRL_TXT_000128,Music Cabinet,音乐风橱柜
PROPCTRL_TXT_000129,Music Bed,音乐风床
PROPCTRL_TXT_000130,Heart Chair,心形椅
PROPCTRL_TXT_000131,Heart Table,心形桌
PROPCTRL_TXT_000132,Heart Dressing Table,心形梳妆台
PROPCTRL_TXT_000133,Heart Wardrobe,心形衣柜
PROPCTRL_TXT_000134,Heart Sofa,心形沙发
PROPCTRL_TXT_000135,Heart Cabinet,心形橱柜
PROPCTRL_TXT_000136,Heart Bed,心形床
PROPCTRL_TXT_000137,Modern Chair,摩登椅
PROPCTRL_TXT_000138,Modern Table,摩登桌
PROPCTRL_TXT_000139,Modern Dressing Table,摩登梳妆台
PROPCTRL_TXT_000140,Modern Wardrobe,摩登衣柜
PROPCTRL_TXT_000141,Modern Sofa,摩登沙发
PROPCTRL_TXT_000142,Modern Cabinet,摩登橱柜
PROPCTRL_TXT_000143,Modern Bed,摩登床
PROPCTRL_TXT_000144,Royal Chair,皇室椅
PROPCTRL_TXT_000145,Royal Table,皇室桌
PROPCTRL_TXT_000146,Royal Dressing Table,皇室梳妆台
PROPCTRL_TXT_000147,Royal Wardrobe,皇室衣柜
PROPCTRL_TXT_000148,Royal Sofa,皇室沙发
PROPCTRL_TXT_000149,Royal Bed,皇室床
PROPCTRL_TXT_000150,Royal Drawer,皇室抽屉柜
PROPCTRL_TXT_000151,Royal Bookcase,皇室书柜
PROPCTRL_TXT_000152,Royal Desk,皇室桌
PROPCTRL_TXT_000153,Royal Bath,皇室浴缸
PROPCTRL_TXT_000154,Golden Royal Chair,金色皇家椅
PROPCTRL_TXT_000155,Golden Royal Table,金色皇家桌
PROPCTRL_TXT_000156,Golden Royal Dressing Table,金色皇家梳妆台
PROPCTRL_TXT_000157,Golden Royal Wardrobe,金色皇家衣柜
PROPCTRL_TXT_000158,Golden Royal Sofa,金色皇家沙发
PROPCTRL_TXT_000159,Golden Royal Bed,金色皇家床
PROPCTRL_TXT_000160,Golden Royal Drawer,金色皇家抽屉柜
PROPCTRL_TXT_000161,Golden Royal Bookcase,金色皇家书柜
PROPCTRL_TXT_000162,Golden Royal Desk,金色皇家桌
PROPCTRL_TXT_000163,Golden Royal Bath,金色皇家浴缸
PROPCTRL_TXT_000164,Design Black Chair,富有设计的黑色椅子
PROPCTRL_TXT_000165,Design White Chair,富有设计的白色椅子
PROPCTRL_TXT_000166,Design Table,富有设计的桌子
PROPCTRL_TXT_000167,Design Drawer,富有设计的抽屉柜
PROPCTRL_TXT_000168,Design Bookcase,富有设计的书柜
PROPCTRL_TXT_000169,Design Sofa,富有设计的沙发
PROPCTRL_TXT_000170,Wooden Chair,实木椅
PROPCTRL_TXT_000171,Wooden Table,实木桌
PROPCTRL_TXT_000172,Wooden Drawer,实木抽屉柜
PROPCTRL_TXT_000173,Wooden Bookcase,实木书柜
PROPCTRL_TXT_000174,Wooden Sofa,实木沙发
PROPCTRL_TXT_000175,Flaris Ground Field,帕里地面
PROPCTRL_TXT_000176,Flaris Anvil,帕里铁砧
PROPCTRL_TXT_000177,Flaris Bench,帕里长椅
PROPCTRL_TXT_000178,Flaris Chariot,帕里板车
PROPCTRL_TXT_000179,Flaris Fence 1,帕里篱笆 1
PROPCTRL_TXT_000180,Flaris Floor Lamp,帕里路灯
PROPCTRL_TXT_000181,Flaris Wall Lamp,帕里壁灯
PROPCTRL_TXT_000182,Flaris Pot 1,帕里陶罐 1
PROPCTRL_TXT_000183,Flaris Small Sign,帕里指示牌(小)
PROPCTRL_TXT_000184,Flaris Medium Sign,帕里指示牌(中)
PROPCTRL_TXT_000185,Flaris Large Sign,帕里指示牌(大)
PROPCTRL_TXT_000186,Flaris Boat Sign,帕里指示牌(飞船造型)
PROPCTRL_TXT_000187,Flaris Rotating Sign,帕里指示牌(旋转款)
PROPCTRL_TXT_000188,Common Green Tree 1,寻常的绿树 1
PROPCTRL_TXT_000189,Common Wooden Box 1,寻常的木箱 1
PROPCTRL_TXT_000190,Common Wooden Box Pile 1,寻常的一堆木箱 1
PROPCTRL_TXT_000191,Common Wooden Barrel 1,寻常的木桶 1
PROPCTRL_TXT_000192,Common Wooden Barrel Pile 1,寻常的一堆木桶 1
PROPCTRL_TXT_000193,Common Flowers 1,寻常的花丛 1
PROPCTRL_TXT_000194,Common Grass 1,寻常的草丛 1
PROPCTRL_TXT_000195,Common Mushroom 1,寻常的蘑菇 1
PROPCTRL_TXT_000196,Common Rock 1,寻常的石块 1
PROPCTRL_TXT_000197,Common Autumn Tree,寻常的秋季树木
PROPCTRL_TXT_000198,Common Sakura Tree 1,寻常的樱花树 1
PROPCTRL_TXT_000199,Common Burned Tree,烧焦的树木
PROPCTRL_TXT_000200,St Morning Bench,晨光长椅
PROPCTRL_TXT_000201,St Morning Chariot,晨光板车
PROPCTRL_TXT_000202,St Morning Rock Arch 1,晨光石拱 1
PROPCTRL_TXT_000203,St Morning Flag 1,晨光道旗 1
PROPCTRL_TXT_000204,St Morning Flower Bed,晨光花池
PROPCTRL_TXT_000205,St Morning Rock 1,晨光岩石 1
PROPCTRL_TXT_000206,St Morning Light 1,晨光路灯 1
PROPCTRL_TXT_000207,St Morning Sign,晨光公告牌
PROPCTRL_TXT_000208,Darkon Wagon 1,达肯矿车 1
PROPCTRL_TXT_000209,Darkon Sign 1,达肯立牌 1
PROPCTRL_TXT_000210,Darkon Big Box 1,达肯货箱 1
PROPCTRL_TXT_000211,Darkon Brown Rock 1,达肯岩石 1
PROPCTRL_TXT_000212,Darkon Barrel 1,达肯油桶 1
PROPCTRL_TXT_000213,Darkon Ground Window,达肯指示灯
PROPCTRL_TXT_000214,Darkon Light 1,达肯灯具(探照灯) 1
PROPCTRL_TXT_000215,Darkon Mushroom 1,达肯蘑菇 1
PROPCTRL_TXT_000216,Darkon Tree 1,达肯树木 1
PROPCTRL_TXT_000217,Darkon Plant,达肯植物
PROPCTRL_TXT_000218,Azria Plant 1,雪地植物 1
PROPCTRL_TXT_000219,Azria Tree 1,雪地树木 1
PROPCTRL_TXT_000220,Azria Light 1,雪地路灯 1
PROPCTRL_TXT_000221,Azria Rock 1,雪地岩石 1
PROPCTRL_TXT_000222,Azria Mushroom 1,雪地蘑菇 1
PROPCTRL_TXT_000223,Azria Chariot,阿兹利亚板车
PROPCTRL_TXT_000224,Azria Crystal,雪地水晶
PROPCTRL_TXT_000225,Azria Grass 1,雪地草丛 1
PROPCTRL_TXT_000226,Azria Sign 1,雪地指示牌 1
PROPCTRL_TXT_000227,Azria Box Pile,雪地里的一堆箱子
PROPCTRL_TXT_000228,Azria Box 1,雪地箱子 1
PROPCTRL_TXT_000229,Coral Island Tree 1,沙滩树木 1
PROPCTRL_TXT_000230,Coral Island Shellfish 1,贝类 1
PROPCTRL_TXT_000231,Coral Island Coral 1,珊瑚 1
PROPCTRL_TXT_000232,Coral Island Starfish 1,海星 1
PROPCTRL_TXT_000233,Coral Island Table 1,珊瑚岛桌子 1
PROPCTRL_TXT_000234,Coral Island Beach Umbrella ,沙滩伞
PROPCTRL_TXT_000235,Basic Wall,普通墙
PROPCTRL_TXT_000236,Flaris Wall,帕里墙
PROPCTRL_TXT_000237,Cove Wall,海湾墙
PROPCTRL_TXT_000238,Coral Island Wall,珊瑚岛墙
PROPCTRL_TXT_000239,Forsaken Wall,深渊之塔墙
PROPCTRL_TXT_000240,Secret Wall,秘密房间墙
PROPCTRL_TXT_000241,Colosseum Wall,竞技场墙
PROPCTRL_TXT_000242,Darkon Light Wall,达肯亮光墙
PROPCTRL_TXT_000243,Darkon Wooden Wall,达肯木质墙
PROPCTRL_TXT_000244,Darkon Metal Wall,达肯金属墙
PROPCTRL_TXT_000245,Mechanical Wall,机械风格墙
PROPCTRL_TXT_000246,Cottage Wall,乡村小屋墙
PROPCTRL_TXT_000247,Ivillis Wall,Ivillis 墙
PROPCTRL_TXT_000248,Royal Wall,皇室墙
PROPCTRL_TXT_000249,Plain Wall,朴素墙
PROPCTRL_TXT_000250,Deck Wall,甲板墙
PROPCTRL_TXT_000251,Forest Wall,森林墙
PROPCTRL_TXT_000252,Metallic Wall,金属墙
PROPCTRL_TXT_000253,Construction Wall,建筑墙
PROPCTRL_TXT_000254,Saint Morning Wall,晨光墙
PROPCTRL_TXT_000255,Basic Floor,普通地面
PROPCTRL_TXT_000256,White Floor,白色地面
PROPCTRL_TXT_000257,Bordered Cove Floor,带边框的海湾地面
PROPCTRL_TXT_000258,Plain Cove Floor,朴素海湾地面
PROPCTRL_TXT_000259,Small Plank Floor,小木板地面
PROPCTRL_TXT_000260,Crate Floor,板条箱地面
PROPCTRL_TXT_000261,Platform Floor,平台地面
PROPCTRL_TXT_000262,Light Plank Floor,浅色木板地面
PROPCTRL_TXT_000263,Light Brick Floor,浅色砖墙地面
PROPCTRL_TXT_000264,Scrap Wood Floor,碎木板地面
PROPCTRL_TXT_000265,Pale Wood Floor,苍白木质地面
PROPCTRL_TXT_000266,Mossy Brick Floor,长满苔藓的地面
PROPCTRL_TXT_000267,Shipwreck Floor,沉船地面
PROPCTRL_TXT_000268,Construction Floor,建筑地面
PROPCTRL_TXT_000269,Mars Floor,魔域密殿地面
PROPCTRL_TXT_000270,Forsaken Brick Floor,深渊之塔地面
PROPCTRL_TXT_000271,Ominous Floor,阴森地面
PROPCTRL_TXT_000272,Golden Floor,金色地面
PROPCTRL_TXT_000273,Bordered Secret Floor,带边框的秘密房间地面
PROPCTRL_TXT_000274,Plain Secret Floor,朴素秘密房间地面
PROPCTRL_TXT_000275,Darkon Wooden Plain Floor,达肯素色木质地面
PROPCTRL_TXT_000276,Darkon Wooden Mosaic Floor,达肯马赛克木质地面
PROPCTRL_TXT_000277,Forsaken Blue Floor,深渊之塔蓝色地面
PROPCTRL_TXT_000278,Plain Forsaken Blue Floor,朴素深渊之塔蓝色地面
PROPCTRL_TXT_000279,Wilds Floor,荒野地面
PROPCTRL_TXT_000280,Pebble Floor,卵石地面
PROPCTRL_TXT_000281,Fortress Floor,神秘城堡地面
PROPCTRL_TXT_000282,Cracked Floor,开裂的地面
PROPCTRL_TXT_000283,Volcanic Floor,熔岩秘境地面
PROPCTRL_TXT_000284,Modern Floor,摩登地面
PROPCTRL_TXT_000285,Pipe Floor,管网地面
PROPCTRL_TXT_000286,Darkon Metal Mosaic Floor,达肯马赛克金属地面
PROPCTRL_TXT_000287,Darkon Metal Grid Lattice Floor,达肯金属格栅地面
PROPCTRL_TXT_000288,Darkon Metal Plain Floor,达肯马赛克素色地面
PROPCTRL_TXT_000289,Forged Floor,锻造铺地面
PROPCTRL_TXT_000290,Industrial Floor,工业地面
PROPCTRL_TXT_000291,Colosseum Floor,竞技场地面
PROPCTRL_TXT_000292,Dungeon Floor,副本地面
PROPCTRL_TXT_000293,Bright Wooden Floor,明亮木质地面
PROPCTRL_TXT_000294,Honey Wooden Floor,蜜色木质地面
PROPCTRL_TXT_000295,Ancient Floor,远古地面
PROPCTRL_TXT_000296,Pier Floor,码头地面
PROPCTRL_TXT_000297,Dark Stacked Wooden Floor,深色堆叠木质地面
PROPCTRL_TXT_000298,Light Stacked Wooden Floor,浅色堆叠木质地面
PROPCTRL_TXT_000299,Dark Plank Floor,深色木板地面
PROPCTRL_TXT_000300,Cracked Marble Floor,开裂的大理石地面
PROPCTRL_TXT_000301,Battle Floor,战场地面
PROPCTRL_TXT_000302,Branch Floor,树枝地面
PROPCTRL_TXT_000303,Tree Floor,树木地面
PROPCTRL_TXT_000304,Royal Carpet Floor,皇家地毯地面
PROPCTRL_TXT_000305,Rhisis Floor,莱斯地面
PROPCTRL_TXT_000306,Dirt Floor,泥土地面
PROPCTRL_TXT_000307,Flarine Floor,弗拉林地面
PROPCTRL_TXT_000308,Gravel Floor,沙砾地面
PROPCTRL_TXT_000309,Bordered Plank Floor,带边框的木板地面
PROPCTRL_TXT_000310,Basic Ceiling,普通天花板
PROPCTRL_TXT_000311,White Ceiling,白色天花板
PROPCTRL_TXT_000312,Bordered Cove Ceiling,带边框的海湾天花板
PROPCTRL_TXT_000313,Plain Cove Ceiling,朴素海湾天花板
PROPCTRL_TXT_000314,Small Plank Ceiling,小木板天花板
PROPCTRL_TXT_000315,Crate Ceiling,板条箱天花板
PROPCTRL_TXT_000316,Platform Ceiling,平台天花板
PROPCTRL_TXT_000317,Light Plank Ceiling,浅色木板天花板
PROPCTRL_TXT_000318,Light Brick Ceiling,浅色砖墙天花板
PROPCTRL_TXT_000319,Scrap Wood Ceiling,碎木板天花板
PROPCTRL_TXT_000320,Pale Wood Ceiling,苍白木质天花板
PROPCTRL_TXT_000321,Mossy Brick Ceiling,长满苔藓的砖墙天花板
PROPCTRL_TXT_000322,Shipwreck Ceiling,沉船天花板
PROPCTRL_TXT_000323,Construction Ceiling,施工天花板
PROPCTRL_TXT_000324,Mars Ceiling,魔域密殿天花板
PROPCTRL_TXT_000325,Forsaken Brick Ceiling,深渊之塔地砖天花板
PROPCTRL_TXT_000326,Ominous Ceiling,阴森天花板
PROPCTRL_TXT_000327,Golden Ceiling,金色天花板
PROPCTRL_TXT_000328,Bordered Secret Ceiling,带边框的秘密房间天花板
PROPCTRL_TXT_000329,Plain Secret Ceiling,朴素秘密房间天花板
PROPCTRL_TXT_000330,Darkon Wooden Plain Ceiling,达肯素色木质天花板
PROPCTRL_TXT_000331,Darkon Wooden Mosaic Ceiling,达肯马赛克木质天花板
PROPCTRL_TXT_000332,Forsaken Blue Ceiling,深渊之塔蓝色天花板
PROPCTRL_TXT_000333,Plain Forsaken Blue Ceiling,朴素深渊之塔蓝色天花板
PROPCTRL_TXT_000334,Wilds Ceiling,荒野天花板
PROPCTRL_TXT_000335,Pebble Ceiling,卵石天花板
PROPCTRL_TXT_000336,Fortress Ceiling,城堡天花板
PROPCTRL_TXT_000337,Cracked Ceiling,开裂的天花板
PROPCTRL_TXT_000338,Volcanic Ceiling,熔岩秘境天花板
PROPCTRL_TXT_000339,Modern Ceiling,摩登天花板
PROPCTRL_TXT_000340,Pipe Ceiling,管网天花板
PROPCTRL_TXT_000341,Darkon Metal Mosaic Ceiling,达肯马赛克金属天花板
PROPCTRL_TXT_000342,Darkon Metal Grid Lattice Ceiling,达肯金属格栅天花板
PROPCTRL_TXT_000343,Darkon Metal Plain Ceiling,达肯素色金属天花板
PROPCTRL_TXT_000344,Forged Ceiling,锻造铺天花板
PROPCTRL_TXT_000345,Industrial Ceiling,工业天花板
PROPCTRL_TXT_000346,Colosseum Ceiling,竞技场天花板
PROPCTRL_TXT_000347,Dungeon Ceiling,副本天花板
PROPCTRL_TXT_000348,Bright Wooden Ceiling,明亮木质天花板
PROPCTRL_TXT_000349,Honey Wooden Ceiling,蜜色木质天花板
PROPCTRL_TXT_000350,Ancient Ceiling,远古天花板
PROPCTRL_TXT_000351,Pier Ceiling,码头天花板
PROPCTRL_TXT_000352,Dark Stacked Wooden Ceiling,深色堆叠木质天花板
PROPCTRL_TXT_000353,Light Stacked Wooden Ceiling,浅色堆叠木质天花板
PROPCTRL_TXT_000354,Dark Plank Ceiling,深色木板天花板
PROPCTRL_TXT_000355,Cracked Marble Ceiling,开裂的大理石天花板
PROPCTRL_TXT_000356,Battle Ceiling,战场天花板
PROPCTRL_TXT_000357,Branch Ceiling,树枝天花板
PROPCTRL_TXT_000358,Tree Ceiling,树木天花板
PROPCTRL_TXT_000359,Royal Carpet Ceiling,皇家地毯天花板
PROPCTRL_TXT_000360,Rhisis Ceiling,莱斯天花板
PROPCTRL_TXT_000361,Dirt Ceiling,泥土天花板
PROPCTRL_TXT_000362,Flarine Ceiling,弗拉林天花板
PROPCTRL_TXT_000363,Gravel Ceiling,沙砾天花板
PROPCTRL_TXT_000364,Bordered Plank Ceiling,带边框的木板天花板
PROPCTRL_TXT_000365,Common Green Tree 2,寻常的绿树 2
PROPCTRL_TXT_000366,Common Green Tree 3,寻常的绿树 3
PROPCTRL_TXT_000367,Common Green Tree 4,寻常的绿树 4
PROPCTRL_TXT_000368,Common Green Tree 5,寻常的绿树 5
PROPCTRL_TXT_000369,Common Green Tree 6,寻常的绿树 6
PROPCTRL_TXT_000370,Common Green Tree 7,寻常的绿树 7
PROPCTRL_TXT_000371,Common Green Tree 8,寻常的绿树 8
PROPCTRL_TXT_000372,Common Green Tree 9,寻常的绿树 9
PROPCTRL_TXT_000373,Common Green Tree 10,寻常的绿树 10
PROPCTRL_TXT_000374,Common Green Tree 11,寻常的绿树 11
PROPCTRL_TXT_000375,Common Green Tree 12,寻常的绿树 12
PROPCTRL_TXT_000376,Common Green Tree 13,寻常的绿树 13
PROPCTRL_TXT_000377,Common Green Tree 14,寻常的绿树 14
PROPCTRL_TXT_000378,Common Sakura Tree 2,寻常的樱花树 2
PROPCTRL_TXT_000379,Common Wooden Box 2,寻常的木箱 2
PROPCTRL_TXT_000380,Common Wooden Box Pile 2,寻常的一堆木箱 2
PROPCTRL_TXT_000381,Common Wooden Box Pile 3,寻常的一堆木箱 3
PROPCTRL_TXT_000382,Common Wooden Box Pile 4,寻常的一堆木箱 4
PROPCTRL_TXT_000383,Common Wooden Barrel 2,寻常的木桶 2
PROPCTRL_TXT_000384,Common Wooden Barrel 3,寻常的木桶 3
PROPCTRL_TXT_000385,Common Wooden Barrel 4,寻常的木桶 4
PROPCTRL_TXT_000386,Common Wooden Barrel Pile 2,寻常的一堆木桶 2
PROPCTRL_TXT_000387,Common Wooden Barrel Pile 3,寻常的一堆木桶 3
PROPCTRL_TXT_000388,Common Wooden Barrel Pile 4,寻常的一堆木桶 4
PROPCTRL_TXT_000389,Common Wooden Barrel Pile 5,寻常的一堆木桶 5
PROPCTRL_TXT_000390,Common Wooden Barrel Pile 6,寻常的一堆木桶 6
PROPCTRL_TXT_000391,Common Wooden Barrel Pile 7,寻常的一堆木桶 7
PROPCTRL_TXT_000392,Common Wooden Barrel Pile 8,寻常的一堆木桶 8
PROPCTRL_TXT_000393,Common Wooden Barrel Pile 9,寻常的一堆木桶 9
PROPCTRL_TXT_000394,Common Wooden Barrel Pile 10,寻常的一堆木桶 10
PROPCTRL_TXT_000395,Common Flowers 2,寻常的花丛 2
PROPCTRL_TXT_000396,Common Flowers 3,寻常的花丛 3
PROPCTRL_TXT_000397,Common Flowers 4,寻常的花丛 4
PROPCTRL_TXT_000398,Common Flowers 5,寻常的花丛 5
PROPCTRL_TXT_000399,Common Flowers 6,寻常的花丛 6
PROPCTRL_TXT_000400,Common Flowers 7,寻常的花丛 7
PROPCTRL_TXT_000401,Common Flowers 8,寻常的花丛 8
PROPCTRL_TXT_000402,Common Grass 2,寻常的草丛 2
PROPCTRL_TXT_000403,Common Grass 3,寻常的草丛 3
PROPCTRL_TXT_000404,Common Grass 4,寻常的草丛 4
PROPCTRL_TXT_000405,Common Grass 5,寻常的草丛 5
PROPCTRL_TXT_000406,Common Grass 6,寻常的草丛 6
PROPCTRL_TXT_000407,Common Grass 7,寻常的草丛 7
PROPCTRL_TXT_000408,Common Grass 8,寻常的草丛 8
PROPCTRL_TXT_000409,Common Grass 9,寻常的草丛 9
PROPCTRL_TXT_000410,Common Grass 10,寻常的草丛 10
PROPCTRL_TXT_000411,Common Grass 11,寻常的草丛 11
PROPCTRL_TXT_000412,Common Grass 12,寻常的草丛 12
PROPCTRL_TXT_000413,Common Grass 13,寻常的草丛 13
PROPCTRL_TXT_000414,Common Mushroom 2,寻常的蘑菇 2
PROPCTRL_TXT_000415,Common Mushroom 3,寻常的蘑菇 3
PROPCTRL_TXT_000416,Common Mushroom 4,寻常的蘑菇 4
PROPCTRL_TXT_000417,Common Rock 2,寻常的石块 2
PROPCTRL_TXT_000418,Common Rock 3,寻常的石块 3
PROPCTRL_TXT_000419,Common Rock 4,寻常的石块 4
PROPCTRL_TXT_000420,Common Rock 5,寻常的石块 5
PROPCTRL_TXT_000421,Common Rock 6,寻常的石块 6
PROPCTRL_TXT_000422,Common Rock 7,寻常的石块 7
PROPCTRL_TXT_000423,Common Rock 8,寻常的石块 8
PROPCTRL_TXT_000424,Common Rock 9,寻常的石块 9
PROPCTRL_TXT_000425,Common Rock 10,寻常的石块 10
PROPCTRL_TXT_000426,St Morning Rock Arch 2,晨光石拱 2
PROPCTRL_TXT_000427,St Morning Rock Arch 3,晨光石拱 3
PROPCTRL_TXT_000428,St Morning Flag 2,晨光道旗 2
PROPCTRL_TXT_000429,St Morning Flag 3,晨光道旗 3
PROPCTRL_TXT_000430,St Morning Flag 4,晨光道旗 4
PROPCTRL_TXT_000431,St Morning Flag 5,晨光道旗 5
PROPCTRL_TXT_000432,St Morning Rock 2,晨光岩石 2
PROPCTRL_TXT_000433,St Morning Rock 3,晨光岩石 3
